Tanggal SPS,Tanggal Bayar,No. SPS,Saluran,ID Pembeli,KAB/ Kota,Nama Komoditi,Jenis Komoditi,Merk Komoditi,Kemasan,Satuan,Kolli Terjual,Kuantum Terjual (Kg/L),Harga per Kemasan,Nominal Penjualan
01-04-2019,01-03-2019,00011/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1030,KOTA ADM. JAKARTA BARAT,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,110,110,10000,1100000
01-03-2019,01-03-2019,00008/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67729,KOTA BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,25,25,70000,1750000
01-03-2019,01-03-2019,00009/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,69944,KOTA BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,30,30,70000,2100000
01-03-2019,01-03-2019,00002/01/2019/09020/SPST,RPK-NON BPNT/Program Sembako,23809,KAB. TANGERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,5,5,70000,350000
01-03-2019,01-03-2019,00002/01/2019/09020/SPST,RPK-NON BPNT/Program Sembako,23809,KAB. TANGERANG,TEPUNG TERIGU,TERIGU KITA,TERIGU KITA,1,Kg,10,10,7100,71000
01-04-2019,01-04-2019,00003/01/2019/09020/SPST,TOKO/AGEN/PENGECER,71027,KAB. TANGERANG,BERAS,VIETNAM 5%,BERAS POLOS,50,Kg,200,10000,480000,96000000
01-04-2019,01-04-2019,00015/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44071,KOTA ADM. JAKARTA SELATAN,BERAS,PREMIUM 15%,BERAS KITA PREMIUM,5,Kg,50,250,52000,2600000
01-04-2019,01-04-2019,00014/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67729,KOTA BEKASI,BERAS,PREMIUM 15%,BERAS KITA PREMIUM,5,Kg,100,500,52000,5200000
01-04-2019,01-04-2019,00013/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67729,KOTA BEKASI,BERAS,KHUSUS,BERASKITA BERAS HITAM,1,Kg,2,2,28000,56000
01-04-2019,01-04-2019,00013/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67729,KOTA BEKASI,BERAS,PREMIUM 15%,BERAS KITA PREMIUM,5,Kg,4,20,52000,208000
01-04-2019,01-04-2019,00012/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,19294,KOTA ADM. JAKARTA TIMUR,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,10,50,59000,590000
01-04-2019,01-04-2019,00010/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,37986,KOTA BEKASI,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,200,gr,50,10,2300,115000
01-04-2019,01-04-2019,00010/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,37986,KOTA BEKASI,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,5,25,69500,347500
01-04-2019,01-04-2019,00010/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,37986,KOTA BEKASI,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,10,50,59000,590000
01-07-2019,01-07-2019,02131/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72580,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,FOREQUARTER,DAGING KITA,18,Kg,2,36,1017000,2034000
01-07-2019,01-07-2019,02012/01/2019/09001/SPST,HOREKA,55107,KAB. TANGERANG,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,7,140,1380000,9660000
01-07-2019,01-07-2019,00004/01/2019/09020/SPST,RPK-NON BPNT/Program Sembako,57925,KOTA TANGERANG,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,5,5,70000,350000
01-08-2019,01-08-2019,02133/01/2019/09001/SPST,HOREKA,52686,KOTA ADM. JAKARTA UTARA,DAGING KERBAU,FOREQUARTER,DAGING KITA,18,Kg,2,36,1017000,2034000
01-08-2019,01-08-2019,02132/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72580,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,FOREQUARTER,DAGING KITA,18,Kg,2,36,1017000,2034000
01-08-2019,01-08-2019,02068/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72584,KOTA BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,200,200,71500,14300000
01-08-2019,01-08-2019,02067/01/2019/09001/SPST,TOKO/AGEN/PENGECER,74006,KOTA ADM. JAKARTA PUSAT,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,1000,1000,70500,70500000
01-08-2019,01-08-2019,02015/01/2019/09001/SPST,TOKO/AGEN/PENGECER,74006,KOTA ADM. JAKARTA PUSAT,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,12,240,1330000,15960000
01-08-2019,01-08-2019,02015/01/2019/09001/SPST,TOKO/AGEN/PENGECER,74006,KOTA ADM. JAKARTA PUSAT,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,20,400,1330000,26600000
01-08-2019,01-08-2019,02014/01/2019/09001/SPST,HOREKA,52686,KOTA ADM. JAKARTA UTARA,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,3,60,1450000,4350000
01-08-2019,01-08-2019,02013/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72580,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,5,100,1440000,7200000
01-08-2019,01-08-2019,00020/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,58796,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,60,60,70000,4200000
01-08-2019,01-08-2019,00020/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,58796,KOTA ADM. JAKARTA TIMUR,GULA,GKP EKS RAWSUGAR PT.JMR,GULA POLOS,50,Kg,2,100,480000,960000
01-08-2019,01-08-2019,00019/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,2692,KOTA ADM. JAKARTA UTARA,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,2,2,70000,140000
01-08-2019,01-08-2019,00018/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,20492,KOTA ADM. JAKARTA BARAT,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,200,gr,30,6,2300,69000
01-08-2019,01-08-2019,00018/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,20492,KOTA ADM. JAKARTA BARAT,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,1,5,59000,59000
01-08-2019,01-08-2019,00017/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67729,KOTA BEKASI,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,24,24,10000,240000
01-08-2019,01-08-2019,00005/01/2019/09020/SPST,PERUSAHAAN SWASTA/CV/UD,71504,KAB. TANGERANG,BERAS,VIETNAM 5%,BERAS POLOS,50,Kg,40,2000,480000,19200000
01-09-2019,01-09-2019,02134/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72584,KOTA BEKASI,DAGING KERBAU,FOREQUARTER,DAGING KITA,18,Kg,5,90,1017000,5085000
01-09-2019,01-09-2019,02069/01/2019/09001/SPST,TOKO/AGEN/PENGECER,74006,KOTA ADM. JAKARTA PUSAT,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,1000,1000,70500,70500000
01-09-2019,01-09-2019,02018/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72584,KOTA BEKASI,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,5,100,1080000,5400000
01-09-2019,01-09-2019,02019/01/2019/09001/SPST,TOKO/AGEN/PENGECER,74006,KOTA ADM. JAKARTA PUSAT,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,13,260,1330000,17290000
01-09-2019,01-09-2019,02017/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72584,KOTA BEKASI,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,5,100,1140000,5700000
01-09-2019,01-09-2019,02016/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72584,KOTA BEKASI,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,10,200,1440000,14400000
01-09-2019,01-09-2019,00006/01/2019/09020/SPST,TOKO/AGEN/PENGECER,71539,KOTA TANGERANG,BERAS,VIETNAM 5%,BERAS POLOS,50,Kg,100,5000,480000,48000000
01-10-2019,01-10-2019,02070/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72580,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,100,100,70000,7000000
01-10-2019,01-10-2019,00025/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,3339,KAB. BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,50,50,70000,3500000
01-10-2019,01-10-2019,00024/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44071,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,6,6,70000,420000
01-10-2019,01-10-2019,00023/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67729,KOTA BEKASI,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,1,5,69500,69500
01-10-2019,01-10-2019,00023/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67729,KOTA BEKASI,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,1,5,59000,59000
01-10-2019,01-10-2019,00022/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,29556,KOTA ADM. JAKARTA UTARA,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,30,30,70000,2100000
01-10-2019,01-10-2019,00022/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,29556,KOTA ADM. JAKARTA UTARA,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,24,24,10000,240000
01-10-2019,01-10-2019,00021/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1128,KOTA BEKASI,BERAS,KHUSUS,BERAS BASMATI,25,Kg,1,25,875000,875000
01-10-2019,01-10-2019,00021/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1128,KOTA BEKASI,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,30,150,59000,1770000
01-10-2019,01-10-2019,00021/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1128,KOTA BEKASI,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,120,120,10000,1200000
01-10-2019,01-10-2019,00021/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1128,KOTA BEKASI,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,84,84,11800,991200
01-10-2019,01-10-2019,00021/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1128,KOTA BEKASI,TEPUNG TERIGU,TERIGU KITA,TERIGU KITA,1,Kg,60,60,5500,330000
01-11-2019,01-11-2019,00029/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44071,KOTA ADM. JAKARTA SELATAN,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,4,20,69500,278000
01-11-2019,01-11-2019,00028/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1095,KOTA ADM. JAKARTA UTARA,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,10,10,70000,700000
01-11-2019,01-11-2019,00027/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,1089,KOTA ADM. JAKARTA UTARA,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,50,50,70000,3500000
01-11-2019,01-11-2019,00026/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,23571,KOTA ADM. JAKARTA UTARA,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,200,gr,20,4,2300,46000
01-11-2019,01-11-2019,00026/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,23571,KOTA ADM. JAKARTA UTARA,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,10,50,69500,695000
01-11-2019,01-11-2019,00026/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,23571,KOTA ADM. JAKARTA UTARA,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,4,4,70000,280000
01-11-2019,01-11-2019,00026/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,23571,KOTA ADM. JAKARTA UTARA,BERAS,PREMIUM 15%,BERAS KITA PREMIUM,5,Kg,5,25,52000,260000
01-11-2019,01-11-2019,00026/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,23571,KOTA ADM. JAKARTA UTARA,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,5,25,59000,295000
01-11-2019,01-11-2019,00026/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,23571,KOTA ADM. JAKARTA UTARA,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,10,10,10000,100000
01-11-2019,01-11-2019,00026/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,23571,KOTA ADM. JAKARTA UTARA,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,6,6,11800,70800
01-12-2019,13-01-2019,00007/01/2019/09020/SPST,TOKO/AGEN/PENGECER,71706,KOTA TANGERANG SELATAN,BERAS,VIETNAM 5%,BERAS POLOS,50,Kg,100,5000,480000,48000000
14-01-2019,14-01-2019,02074/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72580,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,100,100,70000,7000000
14-01-2019,14-01-2019,02072/01/2019/09001/SPST,HOREKA,55109,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,20,20,67500,1350000
14-01-2019,14-01-2019,02071/01/2019/09001/SPST,HOREKA,55109,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,40,40,69000,2760000
14-01-2019,14-01-2019,02021/01/2019/09001/SPST,HOREKA,55109,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,1,20,1160000,1160000
14-01-2019,14-01-2019,02020/01/2019/09001/SPST,HOREKA,55107,KAB. TANGERANG,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,14,280,1380000,19320000
14-01-2019,14-01-2019,00031/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,29556,KOTA ADM. JAKARTA UTARA,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,10,10,70000,700000
14-01-2019,14-01-2019,00030/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,18614,KOTA ADM. JAKARTA UTARA,BERAS,PREMIUM 15%,BERAS KITA PREMIUM,5,Kg,5,25,52000,260000
15-01-2019,15-01-2019,02135/01/2019/09001/SPST,HOREKA,72032,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,FOREQUARTER,DAGING KITA,18,Kg,1,18,1035000,1035000
15-01-2019,15-01-2019,02077/01/2019/09001/SPST,TOKO/AGEN/PENGECER,74006,KOTA ADM. JAKARTA PUSAT,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,380,380,70500,26790000
15-01-2019,15-01-2019,02076/01/2019/09001/SPST,TOKO/AGEN/PENGECER,74006,KOTA ADM. JAKARTA PUSAT,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,380,380,70500,26790000
15-01-2019,15-01-2019,02075/01/2019/09001/SPST,HOREKA,72032,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,80,80,69000,5520000
15-01-2019,15-01-2019,00035/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44071,KOTA ADM. JAKARTA SELATAN,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,2,10,59000,118000
15-01-2019,15-01-2019,00034/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67729,KOTA BEKASI,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,4,20,69500,278000
15-01-2019,15-01-2019,00034/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67729,KOTA BEKASI,BERAS,KHUSUS,BERASKITA BERAS HITAM,1,Kg,1,1,28000,28000
15-01-2019,15-01-2019,00034/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67729,KOTA BEKASI,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,1,5,59000,59000
15-01-2019,15-01-2019,00033/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,13166,KOTA ADM. JAKARTA UTARA,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,126,630,59000,7434000
15-01-2019,15-01-2019,00033/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,13166,KOTA ADM. JAKARTA UTARA,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,280,280,10000,2800000
15-01-2019,15-01-2019,00033/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,13166,KOTA ADM. JAKARTA UTARA,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,256,256,11800,3020800
15-01-2019,15-01-2019,00032/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,2692,KOTA ADM. JAKARTA UTARA,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,2,2,70000,140000
15-01-2019,15-01-2019,00008/01/2019/09020/SPST,TOKO/AGEN/PENGECER,71027,KAB. TANGERANG,BERAS,VIETNAM 5%,BERAS POLOS,50,Kg,200,10000,480000,96000000
16-01-2019,16-01-2019,02079/01/2019/09001/SPST,HOREKA,55455,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,20,20,69000,1380000
16-01-2019,16-01-2019,02078/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72580,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,100,100,70000,7000000
16-01-2019,16-01-2019,00041/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71933,KOTA ADM. JAKARTA UTARA,BERAS,MEDIUM 20%,BERAS POLOS,50,Kg,30,1500,480000,14400000
16-01-2019,16-01-2019,00042/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71935,KOTA BEKASI,BERAS,MEDIUM 20%,BERAS POLOS,50,Kg,27,1350,480000,12960000
16-01-2019,16-01-2019,00049/01/2019/09001/SPST,HOREKA,71948,KOTA ADM. JAKARTA UTARA,GULA,GKP EKS RAWSUGAR PT.BMM,GULA POLOS,50,Kg,1,50,480000,480000
16-01-2019,16-01-2019,00048/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71947,KOTA ADM. JAKARTA SELATAN,TEPUNG TERIGU,TERIGU KITA,TERIGU KITA,1,Kg,200,200,5500,1100000
16-01-2019,16-01-2019,00047/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71946,KOTA ADM. JAKARTA BARAT,GULA,GKP EKS RAWSUGAR PT.BMM,MANIS KITA,1,Kg,480,480,10000,4800000
16-01-2019,16-01-2019,00046/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71945,KOTA ADM. JAKARTA BARAT,GULA,GKP EKS RAWSUGAR PT.BMM,MANIS KITA,1,Kg,48,48,10500,504000
16-01-2019,16-01-2019,00045/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71944,KOTA ADM. JAKARTA SELATAN,BERAS,KHUSUS,BERAS BASMATI,25,Kg,3,75,875000,2625000
16-01-2019,16-01-2019,00044/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71936,KOTA BEKASI,BERAS,PREMIUM 15%,BERAS KITA PREMIUM,5,Kg,2,10,56000,112000
16-01-2019,16-01-2019,00044/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71936,KOTA BEKASI,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,2,10,61000,122000
16-01-2019,16-01-2019,00044/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71936,KOTA BEKASI,GULA,GKP EKS RAWSUGAR PT.BMM,MANIS KITA,1,Kg,10,10,12500,125000
16-01-2019,16-01-2019,00044/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71936,KOTA BEKASI,BERAS,MEDIUM 20%,BERAS KITA MEDIUM,5,Kg,2,10,55000,110000
16-01-2019,16-01-2019,00044/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71936,KOTA BEKASI,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,8,8,12000,96000
16-01-2019,16-01-2019,00044/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71936,KOTA BEKASI,TEPUNG TERIGU,TERIGU KITA,TERIGU KITA,1,Kg,6,6,7400,44400
16-01-2019,16-01-2019,00043/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71942,KOTA ADM. JAKARTA TIMUR,BERAS,KHUSUS,BERASKITA BERAS HITAM,1,Kg,5,5,28000,140000
16-01-2019,16-01-2019,00043/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71942,KOTA ADM. JAKARTA TIMUR,BERAS,KHUSUS,BERASKITA BERAS MERAH,1,Kg,5,5,21000,105000
16-01-2019,16-01-2019,00040/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71933,KOTA ADM. JAKARTA UTARA,BERAS,MEDIUM 20%,BERAS POLOS,50,Kg,30,1500,480000,14400000
16-01-2019,16-01-2019,00038/01/2019/09001/SPST,LEMBAGA/DINAS/INSTANSI PEMERINTAH,62306,KOTA ADM. JAKARTA PUSAT,BERAS,KHUSUS,BERAS BASMATI,25,Kg,1,25,875000,875000
16-01-2019,16-01-2019,00037/01/2019/09001/SPST,TOBATAN,54896,KOTA BEKASI,BERAS,KHUSUS,BERASKITA BERAS MERAH,1,Kg,20,20,21000,420000
16-01-2019,16-01-2019,00037/01/2019/09001/SPST,TOBATAN,54896,KOTA BEKASI,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,50,50,70000,3500000
16-01-2019,16-01-2019,00037/01/2019/09001/SPST,TOBATAN,54896,KOTA BEKASI,GULA,GKP EKS RAWSUGAR PT.BMM,MANIS KITA,1,Kg,100,100,10000,1000000
16-01-2019,16-01-2019,00037/01/2019/09001/SPST,TOBATAN,54896,KOTA BEKASI,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,20,20,11800,236000
16-01-2019,16-01-2019,00036/01/2019/09001/SPST,LEMBAGA/DINAS/INSTANSI PEMERINTAH,62306,KOTA ADM. JAKARTA PUSAT,BERAS,KHUSUS,BERAS BASMATI,25,Kg,1,25,875000,875000
17-01-2019,17-01-2019,02080/01/2019/09001/SPST,HOREKA,55455,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,20,20,69000,1380000
17-01-2019,17-01-2019,00009/01/2019/09030/SPST,RPK-NON BPNT/Program Sembako,43794,KAB. LEBAK,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,25,25,70000,1750000
17-01-2019,17-01-2019,00050/01/2019/09001/SPST,TOKO/AGEN/PENGECER,71967,KOTA ADM. JAKARTA SELATAN,GULA,GKP EKS RAWSUGAR PT.BMM,MANIS KITA,1,Kg,120,120,10000,1200000
17-01-2019,17-01-2019,00052/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,18729,KOTA DEPOK,MINYAK GORENG,MINYAK GORENG,ROSE BRAND,18,L,6,108,207000,1242000
